H,f1,f2,f3
15,0.066666667,0.866666667,0.066666667
15,0.066666667,0.933333333,0
15,0.133333333,0,0.866666667
15,0.133333333,0.066666667,0.8
15,0.133333333,0.133333333,0.733333333
15,0.133333333,0.2,0.666666667
15,0.133333333,0.266666667,0.6
15,0.133333333,0.333333333,0.533333333
15,0.133333333,0.4,0.466666667
15,0.133333333,0.466666667,0.4
15,0.133333333,0.533333333,0.333333333
15,0.133333333,0.6,0.266666667
15,0.133333333,0.666666667,0.2
15,0.133333333,0.733333333,0.133333333
15,0.133333333,0.8,0.066666667
15,0.133333333,0.866666667,0
15,0.2,0,0.8
15,0.2,0.066666667,0.733333333
15,0.2,0.133333333,0.666666667
15,0.2,0.2,0.6
15,0.2,0.266666667,0.533333333
15,0.2,0.333333333,0.466666667
15,0.2,0.4,0.4
15,0.2,0.466666667,0.333333333
15,0.2,0.533333333,0.266666667
15,0.2,0.6,0.2
15,0.2,0.666666667,0.133333333
15,0.2,0.733333333,0.066666667
15,0.2,0.8,0
15,0.266666667,0,0.733333333
15,0.266666667,0.066666667,0.666666667
15,0.266666667,0.133333333,0.6
15,0.266666667,0.2,0.533333333
15,0.266666667,0.266666667,0.466666667
15,0.266666667,0.333333333,0.4
15,0.266666667,0.4,0.333333333
15,0.266666667,0.466666667,0.266666667
15,0.266666667,0.533333333,0.2
15,0.266666667,0.6,0.133333333
15,0.266666667,0.666666667,0.066666667
15,0.266666667,0.733333333,0
15,0.333333333,0,0.666666667
15,0.333333333,0.066666667,0.6
15,0.333333333,0.133333333,0.533333333
15,0.333333333,0.2,0.466666667
15,0.333333333,0.266666667,0.4
15,0.333333333,0.333333333,0.333333333
15,0.333333333,0.4,0.266666667
15,0.333333333,0.466666667,0.2
15,0.333333333,0.533333333,0.133333333
15,0.333333333,0.6,0.066666667
15,0.333333333,0.666666667,0
15,0.4,0,0.6
15,0.4,0.066666667,0.533333333
15,0.4,0.133333333,0.466666667
15,0.4,0.2,0.4
15,0.4,0.266666667,0.333333333
15,0.4,0.333333333,0.266666667
15,0.4,0.4,0.2
15,0.4,0.466666667,0.133333333
15,0.4,0.533333333,0.066666667
15,0.4,0.6,0
15,0.466666667,0,0.533333333
15,0.466666667,0.066666667,0.466666667
15,0.466666667,0.133333333,0.4
15,0.466666667,0.2,0.333333333
15,0.466666667,0.266666667,0.266666667
15,0.466666667,0.333333333,0.2
15,0.466666667,0.4,0.133333333
15,0.466666667,0.466666667,0.066666667
15,0.466666667,0.533333333,0
15,0.533333333,0,0.466666667
15,0.533333333,0.066666667,0.4
15,0.533333333,0.133333333,0.333333333
15,0.533333333,0.2,0.266666667
15,0.533333333,0.266666667,0.2
15,0.533333333,0.333333333,0.133333333
15,0.533333333,0.4,0.066666667
15,0.533333333,0.466666667,0
15,0.6,0,0.4
15,0.6,0.066666667,0.333333333
15,0.6,0.133333333,0.266666667
15,0.6,0.2,0.2
15,0.6,0.266666667,0.133333333
15,0.6,0.333333333,0.066666667
15,0.6,0.4,0
15,0.666666667,0,0.333333333
15,0.666666667,0.066666667,0.266666667
15,0.666666667,0.133333333,0.2
15,0.666666667,0.2,0.133333333
15,0.666666667,0.266666667,0.066666667
15,0.666666667,0.333333333,0
15,0.733333333,0,0.266666667
15,0.733333333,0.066666667,0.2
15,0.733333333,0.133333333,0.133333333
15,0.733333333,0.2,0.066666667
15,0.733333333,0.266666667,0
15,0.8,0,0.2
15,0.8,0.066666667,0.133333333
15,0.8,0.133333333,0.066666667
15,0.8,0.2,0
15,0.866666667,0,0.133333333
15,0.866666667,0.066666667,0.066666667
15,0.866666667,0.133333333,0
15,0.933333333,0,0.066666667
15,0.933333333,0.066666667,0
15,1,0,0
16,0,0,1
16,0,0.0625,0.9375
16,0,0.125,0.875
16,0,0.1875,0.8125
16,0,0.25,0.75
16,0,0.3125,0.6875
16,0,0.375,0.625
16,0,0.4375,0.5625
16,0,0.5,0.5
16,0,0.5625,0.4375
16,0,0.625,0.375
16,0,0.6875,0.3125
16,0,0.75,0.25
16,0,0.8125,0.1875
16,0,0.875,0.125
16,0,0.9375,0.0625
16,0,1,0
16,0.0625,0,0.9375
16,0.0625,0.0625,0.875
16,0.0625,0.125,0.8125
16,0.0625,0.1875,0.75
16,0.0625,0.25,0.6875
16,0.0625,0.3125,0.625
16,0.0625,0.375,0.5625
16,0.0625,0.4375,0.5
16,0.0625,0.5,0.4375
16,0.0625,0.5625,0.375
16,0.0625,0.625,0.3125
16,0.0625,0.6875,0.25
16,0.0625,0.75,0.1875
16,0.0625,0.8125,0.125
16,0.0625,0.875,0.0625
16,0.0625,0.9375,0
16,0.125,0,0.875
16,0.125,0.0625,0.8125
16,0.125,0.125,0.75
16,0.125,0.1875,0.6875
16,0.125,0.25,0.625
